TIME,TKN,ENT,X,Y,SPEED,HEAD,ALTIT,ID,L_R,SIF1,SIF2,SIF3,QUAL,SITO
183404,LE500,12,77,7,360,213,28999,F,L,-,-,1132,7,P.BALLONE
183416,LE500,12,75,6,364,213,26999,F,L,-,-,1132,7,P.BALLONE
183504,LE500,12,73,2,382,218,26999,F,L,-,-,1132,7,P.BALLONE
183527,LE500,12,71,62,386,220,26999,F,L,-,-,1132,7,P.BALLONE
183539,LE500,12,70,0,388,221,26999,F,L,-,-,1132,7,P.BALLONE
183551,LE500,12,69,-1,388,222,26999,F,L,-,-,1132,7,P.BALLONE
183650,LE500,12,64,-5,385,226,26999,F,L,-,-,1132,7,P.BALLONE
183702,LE500,12,63,-6,385,227,26999,F,L,-,-,1132,7,P.BALLONE
183714,LE500,12,62,-6,388,228,26999,F,L,-,-,1132,7,P.BALLONE
183825,LE500,12,57,-12,472,165,22500,F,L,-,-,1132,7,P.BALLONE
183837,LE500,12,55,-12,473,207,22500,F,L,-,-,1132,7,P.BALLONE
183936,LE500,12,52,-18,460,211,22500,F,L,-,-,1132,6,P.BALLONE
183948,LE500,12,53,-20,462,193,22500,F,L,-,-,1132,7,P.BALLONE
184000,LE500,12,54,-21,461,150,22500,F,L,-,-,1132,7,P.BALLONE
184012,LE500,12,55,-22,453,148,22500,F,L,-,-,1132,7,P.BALLONE
184059,LE500,12,88,-28,465,145,22500,F,L,-,-,1132,7,P.BALLONE
184135,LE500,12,59,-32,451,152,22500,F,L,-,-,1132,7,P.BALLONE
184147,LE500,12,59,-33,446,154,22500,F,L,-,-,1132,7,P.BALLONE
184159,LE500,12,60,-34,440,156,22500,F,L,-,-,1132,7,P.BALLONE
184210,LE500,12,60,-36,435,158,22500,F,L,-,-,1132,7,P.BALLONE
184222,LE500,12,60,-37,430,159,22500,F,L,-,-,1132,7,P.BALLONE
184310,LE500,12,62,-42,418,163,22500,F,L,-,-,1132,7,P.BALLONE
184322,LE500,12,62,-43,417,163,22500,F,L,-,-,1132,7,P.BALLONE
184333,LE500,12,62,-46,413,163,22500,F,L,-,-,1132,7,P.BALLONE
184357,LE500,12,63,-47,416,164,22500,F,L,-,-,1132,7,P.BALLONE
184421,LE500,12,64,-49,397,160,22500,F,L,-,-,1132,7,P.BALLONE
184433,LE500,12,65,-51,397,160,22500,F,L,-,-,1132,7,P.BALLONE
184456,LE500,12,66,-53,394,160,22500,F,L,-,-,1132,7,P.BALLONE
184508,LE500,12,66,-54,395,160,22500,F,L,-,-,1132,7,P.BALLONE
184532,LE500,12,67,-56,384,160,22500,F,L,-,-,1132,7,P.BALLONE
184555,LE500,12,68,-59,374,159,22500,F,L,-,-,1132,7,P.BALLONE
184607,LE500,12,68,-60,370,158,22500,F,L,-,-,1132,7,P.BALLONE
184619,LE500,12,68,-61,369,158,22500,F,L,-,-,1132,7,P.BALLONE
184643,LE500,12,69,-63,356,157,22500,F,L,-,-,1132,7,P.BALLONE
184656,LE500,12,70,-64,353,159,22500,F,L,-,-,1132,7,P.BALLONE
184718,LE500,12,70,-66,347,158,22500,F,L,-,-,1132,7,P.BALLONE
184730,LE500,12,70,-67,342,160,22500,F,L,-,-,1132,7,P.BALLONE
184732,LE500,12,70,-68,329,165,22500,F,L,-,-,1132,7,P.BALLONE
184754,LE500,12,70,-68,331,183,22500,F,L,-,-,1132,7,P.BALLONE
184806,LE500,12,69,-69,331,201,22500,F,L,-,-,1132,7,P.BALLONE
184929,LE500,12,63,-66,310,293,22500,F,L,-,-,1132,6,P.BALLONE
184940,LE500,12,62,-66,310,293,22500,F,L,-,-,1132,5,P.BALLONE
